scope,condition,reported_game,mtime,characters,roles,internal_game_ids,canonical_support,matches_reported_game,likely_actual_game,status,file,error
BIG,analysis_only,1,2026-06-29T01:27:34,アスカ / ケンジ / シオン / ベンジャミン / ミヅキ,アスカ:WEREWOLF / ケンジ:POSSESSED / シオン:SEER / ベンジャミン:VILLAGER / ミヅキ:VILLAGER,01KW7GP0RWRFNMMXE39573EC09,16,yes,1,OK,results/run_en_cond_big/aiwolf/analysis_only/g1_1782663807_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,2,2026-06-29T01:31:55,ケンジ / シズエ / シュンイチ / ミサキ / メイ,ケンジ:POSSESSED / シズエ:VILLAGER / シュンイチ:SEER / ミサキ:WEREWOLF / メイ:VILLAGER,01KW7GY4YEHPP7P1A2310R33M3,17,yes,2,OK,results/run_en_cond_big/aiwolf/analysis_only/g2_1782664074_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,3,2026-06-29T01:35:46,アスカ / セルヴァス / ダイスケ / トシオ / ミナコ,アスカ:VILLAGER / セルヴァス:POSSESSED / ダイスケ:WEREWOLF / トシオ:SEER / ミナコ:VILLAGER,01KW7H6603415XEB2ZTYVFK2XH,17,yes,3,OK,results/run_en_cond_big/aiwolf/analysis_only/g3_1782664337_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,4,2026-06-29T01:38:31,ジョージ / ダイスケ / トシオ / ミヅキ / ミナコ,ジョージ:POSSESSED / ダイスケ:WEREWOLF / トシオ:VILLAGER / ミヅキ:VILLAGER / ミナコ:SEER,01KW7HD5KT5DM14T44H1THH2JA,14,yes,4,OK,results/run_en_cond_big/aiwolf/analysis_only/g4_1782664566_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,5,2026-06-29T01:42:53,シズエ / ジョナサン / ベンジャミン / ミナコ / ミナト,シズエ:POSSESSED / ジョナサン:VILLAGER / ベンジャミン:VILLAGER / ミナコ:SEER / ミナト:WEREWOLF,01KW7HJ7VGB4YYAZYCGVVY3X2C,14,yes,5,OK,results/run_en_cond_big/aiwolf/analysis_only/g5_1782664732_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,6,2026-06-29T01:47:04,シュンイチ / タクミ / ダイスケ / ミナコ / リュウジ,シュンイチ:VILLAGER / タクミ:WEREWOLF / ダイスケ:POSSESSED / ミナコ:VILLAGER / リュウジ:SEER,01KW7HT7Z7PCRA6ED4X3NB56ZQ,16,yes,6,OK,results/run_en_cond_big/aiwolf/analysis_only/g6_1782664994_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,7,2026-06-29T01:51:00,シオン / ベンジャミン / ミヅキ / ミドリ / ミナト,シオン:SEER / ベンジャミン:VILLAGER / ミヅキ:VILLAGER / ミドリ:POSSESSED / ミナト:WEREWOLF,01KW7J1VHC96FVE8RFWXTHJ5XH,15,yes,7,OK,results/run_en_cond_big/aiwolf/analysis_only/g7_1782665244_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,8,2026-06-29T01:54:56,ジョナサン / タクミ / ダイスケ / トシオ / ミナト,ジョナサン:POSSESSED / タクミ:VILLAGER / ダイスケ:WEREWOLF / トシオ:SEER / ミナト:VILLAGER,01KW7J92G55WCKAF1RR1585487,14,yes,8,OK,results/run_en_cond_big/aiwolf/analysis_only/g8_1782665480_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,9,2026-06-29T01:58:01,シオン / セルヴァス / タクミ / ダイスケ / ミサキ,シオン:WEREWOLF / セルヴァス:POSSESSED / タクミ:VILLAGER / ダイスケ:VILLAGER / ミサキ:SEER,01KW7JG9QDA7MRSZ82Z12FC021,15,yes,9,OK,results/run_en_cond_big/aiwolf/analysis_only/g9_1782665717_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,10,2026-06-29T02:02:12,ダイスケ / トシオ / ミヅキ / メイ / リュウジ,ダイスケ:SEER / トシオ:POSSESSED / ミヅキ:VILLAGER / メイ:WEREWOLF / リュウジ:VILLAGER,01KW7JNX5C9H8E0WNPGHHA84HD,14,yes,10,OK,results/run_en_cond_big/aiwolf/analysis_only/g10_1782665901_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,11,2026-06-29T02:05:08,アスカ / ケンジ / ジョージ / ミオ / ミヅキ,アスカ:SEER / ケンジ:WEREWOLF / ジョージ:POSSESSED / ミオ:VILLAGER / ミヅキ:VILLAGER,01KW7JXJW5E9QXVZ8EN03QM9HJ,15,yes,11,OK,results/run_en_cond_big/aiwolf/analysis_only/g11_1782666152_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,12,2026-06-29T02:10:45,ケンジ / ミヅキ / ミナコ / ユミ / リュウジ,ケンジ:WEREWOLF / ミヅキ:VILLAGER / ミナコ:SEER / ユミ:VILLAGER / リュウジ:POSSESSED,01KW7K7YNR29DMN3QRM7MRGSV9,12,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g12_1782666492_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
