Team,BODYGUARD,MEDIUM,POSSESSED,SEER,VILLAGER,WEREWOLF,BODYGUARD (%),MEDIUM (%),POSSESSED (%),SEER (%),VILLAGER (%),WEREWOLF (%),TOTAL,Macro (%),Micro (%),Weighted Micro (%)
CamelliaDragons,1,1,1,1,6,3,0,0,100,0,50.0,66.67,13,46.15,36.11,46.15
CanisLupus-A,1,1,1,2,5,3,0,0,100,50,40.0,66.67,13,46.15,42.78,45.39
CanisLupus-B,1,1,1,1,6,3,0,100,100,0,33.33,66.67,13,46.15,50.0,46.15
Character-Lab-A,1,1,1,1,6,3,0,0,100,0,16.67,0.0,13,15.39,19.45,15.39
Character-Lab-B,1,1,1,1,6,3,0,0,0,0,33.33,66.67,13,30.77,16.67,30.77
kanolab-nw-A,1,1,1,1,6,3,0,100,100,0,33.33,66.67,13,46.15,50.0,46.15
kanolab-nw-B,1,1,1,1,6,3,100,100,100,100,16.67,100.0,13,61.54,86.11,61.54
kanolab-nw-C,1,1,1,1,6,3,0,100,0,0,33.33,100.0,13,46.15,38.89,46.15
mille-A,1,1,1,1,6,3,0,0,0,100,0.0,33.33,13,15.38,22.22,15.38
mille-B,1,1,1,1,6,3,100,0,100,0,33.33,66.67,13,46.15,50.0,46.15
sunamelli-a,1,1,1,1,6,3,0,0,0,0,33.33,66.67,13,30.77,16.67,30.77
sunamelli-b,1,1,1,1,6,3,100,0,100,100,33.33,100.0,13,61.54,72.22,61.54
sunamelli-c,1,1,1,0,7,3,100,0,100,0,42.86,100.0,13,61.54,68.57,63.1
