Team,BODYGUARD,MEDIUM,POSSESSED,SEER,VILLAGER,WEREWOLF,BODYGUARD (%),MEDIUM (%),POSSESSED (%),SEER (%),VILLAGER (%),WEREWOLF (%),TOTAL,Macro (%),Micro (%),Weighted Micro (%)
kanolab,1,0,1,1,6,4,100.00,0.00,100.00,0.00,16.67,25.00,13,30.77,48.33,31.25
CanisLupus-B,1,1,1,1,6,3,100.00,0.00,0.00,0.00,33.33,66.67,13,38.46,33.33,38.46
kanolab-c,1,0,1,1,7,3,0.00,0.00,100.00,0.00,28.57,0.00,13,23.08,25.71,22.62
CanisLupus-A,1,1,1,1,6,3,100.00,0.00,0.00,0.00,33.33,66.67,13,38.46,33.33,38.46
GAIT,1,1,1,2,5,3,0.00,100.00,100.00,50.00,20.00,33.33,13,38.46,50.56,36.15
CanisLupus-C,1,1,2,1,5,3,0.00,0.00,0.00,100.00,0.00,33.33,13,15.38,22.22,15.38
kanolab-a,1,1,1,1,6,3,100.00,0.00,100.00,100.00,50.00,100.00,13,69.23,75.00,69.23
SunameLLi-B,1,1,1,1,6,3,0.00,100.00,0.00,0.00,50.00,100.00,13,53.85,41.67,53.85
kanolab-b,1,2,0,0,7,3,0.00,0.00,0.00,0.00,71.43,100.00,13,61.54,42.86,66.23
SunameLLi-A,1,1,1,1,6,3,0.00,100.00,100.00,0.00,50.00,66.67,13,53.85,52.78,53.85
mille,1,1,1,1,6,3,0.00,100.00,100.00,100.00,16.67,33.33,13,38.46,58.33,38.46
SunameLLi-C,1,2,1,1,6,2,100.00,50.00,100.00,100.00,33.33,100.00,13,61.54,80.56,65.38
CamelliaDragons,1,1,1,1,6,3,0.00,0.00,100.00,0.00,83.33,100.00,13,69.23,47.22,69.23
